product_id,product_title,product_handle,product_url,vendor,product_type,variant_id,variant_title,variant_sku,variant_barcode,price,compare_at_price,in_stock,option1,option2,option3,weight,weight_unit,scraped_at
8185341575362,Castor Oil Softgels,castor-oil-pills,https://www.bulksupplements.com/products/castor-oil-pills,BulkSupplements.com,Herbal Supplement,45624953602242,Softgel / 240 Softgels,CASTOIL240SG,849720050304,20.97,,True,Softgel,240 Softgels,,0.24,kg,2025-12-20T20:21:01.921237
8153830359234,Magnesium Taurate Powder,magnesium-taurate-powder,https://www.bulksupplements.com/products/magnesium-taurate-powder,BulkSupplements.com,Magnesium Mineral,45508747755714,Powder / 250 Grams (8.8 oz),MAGTAU250,849720046543,19.97,,True,Powder,250 Grams (8.8 oz),,0.25,kg,2025-12-20T20:21:03.602683
8153830359234,Magnesium Taurate Powder,magnesium-taurate-powder,https://www.bulksupplements.com/products/magnesium-taurate-powder,BulkSupplements.com,Magnesium Mineral,45508747788482,Powder / 100 Grams (3.5 oz),MAGTAU100,849720046536,15.97,,True,Powder,100 Grams (3.5 oz),,0.204,kg,2025-12-20T20:21:03.602683
8153830359234,Magnesium Taurate Powder,magnesium-taurate-powder,https://www.bulksupplements.com/products/magnesium-taurate-powder,BulkSupplements.com,Magnesium Mineral,45508747821250,Powder / 500 Grams (1.1 lbs),MAGTAU500,849720046550,28.97,,True,Powder,500 Grams (1.1 lbs),,0.5,kg,2025-12-20T20:21:03.602683
8153830359234,Magnesium Taurate Powder,magnesium-taurate-powder,https://www.bulksupplements.com/products/magnesium-taurate-powder,BulkSupplements.com,Magnesium Mineral,45508747854018,Powder / 1 Kilogram (2.2 lbs),MAGTAU1KG,849720046567,38.97,,True,Powder,1 Kilogram (2.2 lbs),,1.0,kg,2025-12-20T20:21:03.602683
8153830359234,Magnesium Taurate Powder,magnesium-taurate-powder,https://www.bulksupplements.com/products/magnesium-taurate-powder,BulkSupplements.com,Magnesium Mineral,45509566628034,Capsule / 240 Capsules,MAGTAU240GEL,849720046611,20.97,,False,Capsule,240 Capsules,,0.204,kg,2025-12-20T20:21:03.602683
8153821249730,Golden Milk Powder,golden-milk-powder,https://www.bulksupplements.com/products/golden-milk-powder,BulkSupplements.com,Herbal Supplement,45508657578178,Powder / 500 Grams (1.1 lbs),GDM500,849720044075,24.97,,True,Powder,500 Grams (1.1 lbs),,0.5,kg,2025-12-20T20:21:05.416094
8153821249730,Golden Milk Powder,golden-milk-powder,https://www.bulksupplements.com/products/golden-milk-powder,BulkSupplements.com,Herbal Supplement,45508657610946,Powder / 100 Grams (3.5 oz),GDM100,849720044051,15.97,,True,Powder,100 Grams (3.5 oz),,0.1,kg,2025-12-20T20:21:05.416094
8153821249730,Golden Milk Powder,golden-milk-powder,https://www.bulksupplements.com/products/golden-milk-powder,BulkSupplements.com,Herbal Supplement,45508657643714,Powder / 250 Grams (8.8 oz),GDM250,849720044068,19.97,,True,Powder,250 Grams (8.8 oz),,0.25,kg,2025-12-20T20:21:05.416094
8153821249730,Golden Milk Powder,golden-milk-powder,https://www.bulksupplements.com/products/golden-milk-powder,BulkSupplements.com,Herbal Supplement,45508657676482,Powder / 1 Kilogram (2.2 lbs),GDM1KG,849720044082,35.97,,True,Powder,1 Kilogram (2.2 lbs),,1.0,kg,2025-12-20T20:21:05.416094
